Date,MSFT,AMZN,NVDA,META
2026-01-02,470.84320068359375,226.5,188.6199493408203,649.2518310546875
2026-01-05,470.75360107421875,233.05999755859375,187.89083862304688,657.616943359375
2026-01-06,476.3885192871094,240.92999267578125,187.0119171142578,659.4436645507812
2026-01-07,481.3265075683594,241.55999755859375,188.87962341308594,647.534912109375
2026-01-08,475.9902648925781,246.2899932861328,184.8145751953125,644.9096069335938
2026-01-09,477.15509033203125,247.3800048828125,184.63479614257812,651.8971557617188
2026-01-12,475.06439208984375,246.47000122070312,184.71470642089844,640.8268432617188
2026-01-13,468.5832824707031,242.60000610351562,185.58364868164062,629.96630859375
2026-01-14,457.3433532714844,236.64999389648438,182.91690063476562,614.4240112304688
2026-01-15,454.6354064941406,238.17999267578125,186.82212829589844,619.694580078125
2026-01-16,457.8211975097656,239.1199951171875,186.0031280517578,619.1455688476562
2026-01-20,452.5048522949219,231.0,177.85308837890625,603.0443115234375
2026-01-21,442.1409912109375,231.30999755859375,183.09669494628906,611.8685913085938
2026-01-22,449.1398620605469,234.33999633789062,184.6148223876953,646.476806640625
2026-01-23,463.8841857910156,239.16000366210938,187.44137573242188,657.5870361328125
2026-01-26,468.1949768066406,238.4199981689453,186.2428436279297,671.1627197265625
2026-01-27,478.4493408203125,244.67999267578125,188.29034423828125,671.7716674804688
2026-01-28,479.4946594238281,243.00999450683594,191.28668212890625,667.5391845703125
2026-01-29,431.57806396484375,241.72999572753906,192.27548217773438,736.995361328125
2026-01-30,428.3822937011719,239.3000030517578,190.8971710205078,715.2241821289062
2026-02-02,421.49298095703125,242.9600067138672,185.38388061523438,705.152099609375
2026-02-03,409.3868713378906,238.6199951171875,180.12030029296875,690.4683227539062
2026-02-04,412.35369873046875,232.99000549316406,173.97781372070312,667.798828125
2026-02-05,391.9246520996094,222.69000244140625,171.67062377929688,669.0166625976562
2026-02-06,399.3615417480469,210.32000732421875,185.18414306640625,660.2822265625
2026-02-09,411.76629638671875,208.72000122070312,189.80848693847656,676.0140991210938
2026-02-10,411.437744140625,206.9600067138672,188.31031799316406,669.525634765625
2026-02-11,402.5771789550781,204.0800018310547,189.81849670410156,667.4993286132812
2026-02-12,400.05841064453125,199.60000610351562,186.7122802734375,648.6529541015625
2026-02-13,399.5407409667969,198.7899932861328,182.58729553222656,638.6307983398438
2026-02-17,395.1004943847656,201.14999389648438,184.7446746826172,638.1516723632812
2026-02-18,397.8283386230469,204.7899932861328,187.75099182128906,642.0746459960938
2026-02-19,397.5988464355469,204.86000061035156,187.6710968017578,643.6318969726562
2026-02-20,396.37152099609375,210.11000061035156,189.58877563476562,654.4925537109375
2026-02-23,383.6390686035156,205.27000427246094,191.316650390625,636.1153564453125
2026-02-24,388.1593017578125,208.55999755859375,192.61508178710938,638.1616821289062
2026-02-25,399.7342224121094,210.63999938964844,195.32176208496094,652.5260009765625
2026-02-26,400.851806640625,207.9199981689453,184.66476440429688,655.8401489257812
2026-02-27,391.8912048339844,210.0,176.97415161132812,647.0258178710938
2026-03-02,397.6886291503906,208.38999938964844,182.25770568847656,652.396240234375
2026-03-03,403.0570068359375,208.72999572753906,179.83065795898438,653.91357421875
2026-03-04,404.32427978515625,216.82000732421875,182.8170166015625,666.541015625
2026-03-05,409.79241943359375,218.94000244140625,183.11663818359375,659.393798828125
2026-03-06,408.0761413574219,213.2100067138672,177.6033935546875,643.7117309570312
2026-03-09,408.5251770019531,213.49000549316406,182.427490234375,646.2372436523438
2026-03-10,404.8830871582031,214.3300018310547,184.54490661621094,652.9053955078125
2026-03-11,404.0049743652344,212.64999389648438,185.8134307861328,653.6939697265625
2026-03-12,400.9914855957031,209.52999877929688,182.9268035888672,637.043701171875
2026-03-13,394.69512939453125,207.6699981689453,180.0401611328125,612.6171875
2026-03-16,399.08563232421875,211.74000549316406,183.0067138671875,626.8690185546875
2026-03-17,398.5467834472656,215.1999969482422,181.71820068359375,622.0834350585938
2026-03-18,390.9432678222656,209.8699951171875,180.1899871826172,615.1099243164062
2026-03-19,388.1792297363281,208.75999450683594,178.3521270751953,606.1382446289062
2026-03-20,381.0447082519531,205.3699951171875,172.4989471435547,593.1102905273438
2026-03-23,382.1722717285156,210.13999938964844,175.43553161621094,603.5006713867188
2026-03-24,371.9344177246094,207.24000549316406,174.99603271484375,592.3709716796875
2026-03-25,370.2381286621094,211.7100067138672,178.47198486328125,594.3391723632812
2026-03-26,365.1790771484375,207.5399932861328,171.04066467285156,547.032958984375
2026-03-27,355.9989318847656,199.33999633789062,167.32498168945312,525.233154296875
2026-03-30,358.1842041015625,200.9499969482422,164.97772216796875,535.8833618164062
2026-03-31,369.3699951171875,208.27000427246094,174.1969757080078,571.6002197265625
2026-04-01,368.57171630859375,210.57000732421875,175.54541015625,578.6936645507812
2026-04-02,372.6528625488281,209.77000427246094,177.18348693847656,573.9281005859375
2026-04-06,372.0741271972656,212.7899932861328,177.43319702148438,572.4894409179688
2026-04-07,371.48541259765625,213.77000427246094,177.89266967773438,574.5175170898438
2026-04-08,373.52099609375,221.25,181.8680419921875,611.8529052734375
2026-04-09,372.26373291015625,233.64999389648438,183.69590759277344,627.8081665039062
2026-04-10,370.0684814453125,238.3800048828125,188.41041564941406,629.2767333984375
2026-04-13,383.539306640625,239.88999938964844,189.08961486816406,633.9425048828125
2026-04-14,392.2604064941406,249.02000427246094,196.28123474121094,661.8765258789062
2026-04-15,410.3312683105469,248.5,198.63848876953125,670.9581909179688
2026-04-16,419.35174560546875,249.6999969482422,198.1190948486328,676.2432250976562
2026-04-17,421.87628173828125,250.55999755859375,201.44520568847656,687.9124145507812
2026-04-20,417.1664733886719,248.27999877929688,201.82476806640625,670.2887573242188
2026-04-21,423.2433166503906,249.91000366210938,199.64732360839844,668.220703125
2026-04-22,431.984375,255.36000061035156,202.26426696777344,674.09521484375
2026-04-23,414.8514709472656,255.0800018310547,199.4075927734375,658.5396728515625
2026-04-24,423.7023010253906,263.989990234375,208.0275421142578,674.4049682617188
2026-04-27,423.9018859863281,261.1199951171875,216.3578338623047,677.9916381835938
2026-04-28,428.3222961425781,259.70001220703125,212.92184448242188,670.7183837890625
2026-04-29,423.5426330566406,263.0400085449219,209.00640869140625,668.5004272460938
2026-04-30,406.8987121582031,265.05999755859375,199.33767700195312,611.3433837890625
2026-05-01,413.5443115234375,268.260009765625,198.21897888183594,608.1863403320312
2026-05-04,412.72607421875,272.04998779296875,198.24893188476562,609.8447875976562
2026-05-05,410.4909362792969,273.54998779296875,196.271240234375,604.3998413085938
2026-05-06,413.0653381347656,274.989990234375,207.5880584716797,612.3125
2026-05-07,419.8606262207031,271.1700134277344,211.2537841796875,616.2388305664062
2026-05-08,414.22283935546875,272.67999267578125,214.94947814941406,609.0654907226562
2026-05-11,411.7681579589844,268.989990234375,219.18453979492188,598.3054809570312
2026-05-12,406.8887023925781,265.82000732421875,220.52297973632812,602.441650390625
2026-05-13,404.3342590332031,270.1300048828125,225.56710815429688,616.0590209960938
2026-05-14,408.5451354980469,267.2200012207031,235.465576171875,617.8573608398438
2026-05-15,421.0081481933594,264.1400146484375,225.05770874023438,613.6612548828125
2026-05-18,422.6246643066406,264.8599853515625,222.0612030029297,610.64404296875
2026-05-19,416.51788330078125,259.3399963378906,220.35317993164062,602.052001953125
2026-05-20,420.1499938964844,265.010009765625,223.20985412597656,604.499755859375
2026-05-21,419.0899963378906,268.4599914550781,219.25445556640625,606.8175659179688
2026-05-22,418.57000732421875,266.32000732421875,215.07933044433594,609.6949462890625
2026-05-26,416.0299987792969,265.2900085449219,214.60987854003906,611.7730102539062
2026-05-27,412.6700134277344,271.8500061035156,212.35250854492188,634.6718139648438
